,token_id,type,height,segments,spectrum,color_spread,steps_between,color_direction
1780,1780,Normal,3,14,Perfect Spectrum,11,200,Forward
1781,1781,Slinky,3,12,Normal,47,50,Forward
1782,1782,Normal,3,13,Normal,22,200,Forward
1783,1783,Normal,3,19,Normal,38,200,Reverse
1784,1784,Bold,3,15,Normal,19,200,Reverse
1785,1785,Normal,3,14,Normal,15,200,Reverse
1786,1786,Normal,3,13,Normal,7,200,Forward
1787,1787,Fuzzy,3,12,Normal,20,1000,Forward
1788,1788,Normal,3,12,Normal,25,200,Reverse
1789,1789,Bold,3,14,Normal,41,200,Forward
1790,1790,Normal,3,14,Normal,31,200,Forward
1791,1791,Normal,3,19,Normal,34,200,Reverse
1792,1792,Normal,3,17,Normal,25,200,Forward
1793,1793,Fuzzy,3,18,Normal,37,1000,Reverse
1794,1794,Bold,3,12,Normal,25,200,Reverse
1795,1795,Normal,3,19,Normal,26,200,Forward
1796,1796,Fuzzy,3,18,Normal,15,1000,Reverse
1797,1797,Normal,3,19,Normal,42,200,Reverse
1798,1798,Fuzzy,3,13,Normal,7,1000,Forward
1799,1799,Normal,3,19,Normal,29,200,Reverse
1800,1800,Slinky,3,15,Normal,19,50,Reverse
1801,1801,Ribbed,3,15,Normal,11,200,Forward
1802,1802,Slinky,3,17,Normal,21,50,Forward
1803,1803,Normal,3,17,Normal,41,200,Reverse
1804,1804,Ribbed,3,15,Normal,43,200,Reverse
1805,1805,Normal,3,17,Normal,25,200,Forward
1806,1806,Normal,3,13,Normal,19,200,Reverse
1807,1807,Normal,3,15,Normal,19,200,Forward
1808,1808,Normal,3,17,Normal,41,200,Reverse
1809,1809,Ribbed,3,13,Normal,39,200,Reverse
1810,1810,Ribbed,3,17,Normal,37,200,Reverse
1811,1811,Ribbed,3,14,Normal,41,200,Forward
1812,1812,Normal,3,13,Normal,39,200,Reverse
1813,1813,Ribbed,3,19,Normal,38,200,Forward
1814,1814,Normal,3,16,Normal,18,200,Reverse
1815,1815,Fuzzy,3,15,Normal,41,1000,Reverse
1816,1816,Fuzzy,3,13,Normal,38,1000,Reverse
1817,1817,Normal,3,16,Normal,33,200,Forward
1818,1818,Normal,3,13,Normal,25,200,Reverse
1819,1819,Normal,3,14,Perfect Spectrum,11,200,Forward
1820,1820,Normal,3,18,Normal,8,200,Forward
1821,1821,Slinky,3,15,Normal,33,50,Reverse
1822,1822,Normal,3,18,Normal,36,200,Reverse
1823,1823,Normal,3,12,Normal,37,200,Reverse
1824,1824,Normal,3,18,Normal,40,200,Forward
1825,1825,Ribbed,3,19,Normal,46,200,Forward
1826,1826,Normal,3,15,Normal,40,200,Reverse
1827,1827,Fuzzy,3,18,Normal,27,1000,Reverse
1828,1828,Normal,3,18,Normal,30,200,Reverse
1829,1829,Normal,3,12,Normal,26,200,Reverse
1830,1830,Bold,3,16,Normal,41,200,Forward
1831,1831,Normal,3,13,Normal,6,200,Forward
1832,1832,Normal,3,17,Normal,32,200,Forward
1833,1833,Normal,3,14,Normal,49,200,Forward
1834,1834,Ribbed,3,18,Full Spectrum,14,200,Forward
1835,1835,Normal,3,15,Normal,29,200,Reverse
1836,1836,Normal,3,17,Normal,22,200,Forward
1837,1837,Normal,3,16,Normal,38,200,Forward
1838,1838,Normal,3,19,Normal,23,200,Reverse
1839,1839,Bold,3,15,Normal,26,200,Forward
1840,1840,Normal,3,15,Normal,28,200,Reverse
1841,1841,Slinky,3,19,Normal,29,50,Forward
1842,1842,Normal,3,16,Normal,15,200,Reverse
1843,1843,Slinky,3,14,Normal,50,50,Reverse
1844,1844,Bold,3,17,Normal,25,200,Forward
1845,1845,Normal,3,14,Normal,24,200,Forward
1846,1846,Normal,3,17,Normal,33,200,Forward
1847,1847,Normal,3,19,Normal,37,200,Reverse
1848,1848,Normal,3,13,Normal,24,200,Forward
1849,1849,Normal,3,12,Normal,13,200,Forward
1850,1850,Normal,3,17,Normal,32,200,Reverse
1851,1851,Ribbed,3,13,Normal,17,200,Forward
1852,1852,Bold,3,16,Normal,26,200,Forward
1853,1853,Ribbed,3,13,Normal,19,200,Reverse
1854,1854,Normal,3,17,Normal,29,200,Reverse
1855,1855,Normal,3,16,Normal,46,200,Reverse
1856,1856,Bold,3,16,Normal,15,200,Forward
1857,1857,Normal,3,14,Normal,37,200,Reverse
1858,1858,Normal,3,16,Normal,43,200,Reverse
1859,1859,Normal,3,17,Normal,10,200,Forward
1860,1860,Normal,3,14,Normal,14,200,Reverse
1861,1861,Slinky,3,16,Normal,10,50,Forward
1862,1862,Normal,3,14,Perfect Spectrum,11,200,Forward
1863,1863,Normal,3,16,Normal,44,200,Reverse
1864,1864,Normal,3,17,Normal,23,200,Forward
1865,1865,Slinky,3,16,Normal,36,50,Forward
1866,1866,Normal,3,16,Normal,31,200,Reverse
1867,1867,Slinky,3,12,Normal,11,50,Forward
1868,1868,Normal,3,14,Normal,17,200,Forward
1869,1869,Normal,3,13,Normal,7,200,Reverse
1870,1870,Fuzzy,3,13,Normal,44,1000,Forward
1871,1871,Bold,3,18,Normal,11,200,Forward
1872,1872,Normal,3,18,Normal,36,200,Forward
1873,1873,Normal,3,14,Normal,46,200,Forward
1874,1874,Normal,3,15,Normal,49,200,Forward
1875,1875,Normal,3,14,Normal,21,200,Forward
1876,1876,Normal,3,13,Normal,18,200,Forward
1877,1877,Normal,3,12,Normal,20,200,Reverse
1878,1878,Normal,3,16,Normal,41,200,Reverse
1879,1879,Normal,3,16,Normal,29,200,Reverse
1880,1880,Normal,3,12,Normal,36,200,Forward
1881,1881,Normal,3,17,Normal,7,200,Reverse
1882,1882,Normal,3,15,Normal,36,200,Reverse
1883,1883,Normal,3,17,Normal,14,200,Forward
1884,1884,Bold,3,13,Normal,17,200,Reverse
1885,1885,Normal,3,15,Normal,8,200,Reverse
1886,1886,Normal,3,18,Normal,18,200,Reverse
1887,1887,Normal,3,19,Normal,36,200,Forward
1888,1888,Slinky,3,17,Normal,11,50,Reverse
1889,1889,Normal,3,18,Normal,9,200,Reverse
1890,1890,Normal,3,19,Normal,47,200,Reverse
1891,1891,Normal,3,13,Normal,9,200,Reverse
1892,1892,Normal,3,15,Normal,49,200,Reverse
1893,1893,Normal,3,15,Normal,29,200,Forward
1894,1894,Normal,3,16,Normal,30,200,Reverse
1895,1895,Normal,3,16,Normal,10,200,Forward
